T,U,R
94,3.9,0.9
91,,0.98
90,3.774,
88,,1.06
86,,1.11
84,3.552,
82,3.464,
80,,1.31
78,3.303,
76,,1.49
74,3.109,
72,,1.7
70,2.924,
68,,1.97
66,2.72,
64,,2.29
62,2.54,
60,,2.68
58,2.33,
56,,3.13
54,,3.38
52,2.06,
50,,3.9
48,1.87,
46,,4.86
44,,5.3
42,1.603,
40,1.522,
38,,6.67
36,1.36,
34,,7.6
32,1.204,
30,,8.79
28,1.034,
26,,10.09
24,0.928,10.8
